id,date,user,text
1250904549625397252,2020-04-16 21:50:59,manindastreet2,@MsCougar21 Yep. All over that ladys face. Fear. Anger but def fear.
1250903074975219712,2020-04-16 21:45:08,ShreddedReTweet,@brokenbottleboy A lot of anger in that face.
1250902581372686342,2020-04-16 21:43:10,AliNelson1805,"""Bob`s frustration spilled out, he had an intense look on his face, a cross between anger and blind panic - like an amateur surgeon entering an operating theatre after getting a parking ticket...""
#therestishistory - `different from the norm.`

https://t.co/ZyF2xqhI8V
FREE D/L😀"
1250901802196914179,2020-04-16 21:40:04,YNHealth,"Tongkat Ali decreases tension&amp;anger in patients while reducing high cortisol levels indicated by hypertension, mood swings, muscle weakness, fast weight gain in the face/abdomen etc. Since it is potent, taking a break from this is recommended periodically. https://t.co/FYbeNxTL8f https://t.co/cbpMF62zHv"
1250899236889210880,2020-04-16 21:29:53,Noura_Alnoumas,"You may think your only choices are to swallow your anger or throw it in someone's face, but there's a third option: You can just let it go, and only when you do that it is really gone and you can move forward."
1250899229352046595,2020-04-16 21:29:51,APHRODIIISIAC,"☼; The cons of dating me tho : 

   I have an anger management issue, I’m not gonna sit there and fuckin argue with you face to face. 

Now on the phone, imma let you talk yo shit but please be prepared to get hung the fuck up on. 

In the past I didn’t do that."
1250899214797877248,2020-04-16 21:29:48,a4gma,@toadmeister Was that when you were following members of your family into the Labour Party? The look of anger on your face suggests that it was!
1250898319720792070,2020-04-16 21:26:14,freya_haze,@PadS_RL @LaylaBRLN I'll always stand up and fight for you ladies.  Tbh Twitter haters are the easiest to deal with.  I know none of them would say a word to my face and online I'll just keep spitting facts at their inflammatory statements until they get frustrated with my lack of anger and block me
1250895491170263041,2020-04-16 21:15:00,Reuters,Shehu Isah Daiyanu Dumus has run out of cash and says he only has a few handfuls of cassava flour left to eat. He is just one of many in Lagos and other major African cities battling hunger and anger amid the lockdown https://t.co/Ib8efj9Mkf https://t.co/EBd6pKf66O
1250895187016122374,2020-04-16 21:13:47,cruelpathogen,"@SpiritoDelVolo i’m glad you know how to take a fucking hint. 
    never s-speak to me again like how you spoke to me today. 

  *he takes a moment to catch his breath, arms crossed and face still distorted with anger.*"
1250894735247470592,2020-04-16 21:12:00,Sunnytimber,"@DenverChannel Anyone without a mask or face cover in public is more likely to be kicked or stomped, lots of anger for those not covered."
1250894485434892289,2020-04-16 21:11:00,_angel_food,Addison re ..... i have legitimate anger towards this tiktok girls face.
1250893743663665152,2020-04-16 21:08:03,hinayubot,"Ah, Yuuta-kun is still cute even now.

If I told him that, then his face would go red with anger. But that’s also adorable, right~"
1250893743198265344,2020-04-16 21:08:03,Domokun1985,"I finally got the chance to have a face to face with the person who I almost cursed out anger but I held on and stayed classy🤣

(When I said VERY GENEROUS, I meant for the amount I have to pay for the total charges on my order, the tip I sent was 60% of it, bec I felt bad)"
1250893453132812290,2020-04-16 21:06:54,passosilencioso,"Within seconds her face dropped.

''I don't have to fucking take that from you'' 

Her words were vile and mean, full of anger. Anger that she never got to direct at the right person. https://t.co/OXZ7cL94DO"
1250889870874206228,2020-04-16 20:52:40,_sabrin_a,"I got soo much anger built up, the next time I get into a fight I might real live break someone face 😩 and not even with my gun 😭"
1250889533341786127,2020-04-16 20:51:19,KO_Reporter,"@reillyadam And I don't know how huge the ""unconstitutional"" part is, b/c we're talking ""as applied"" unconstitutionality as opposed to ""on its face."" In light of unprecedented pandemic, I don't think you could argue otherwise with a straight face and not anger the court."
1250888781651116039,2020-04-16 20:48:20,jamudd,This makes me cry. Fucking asshole corporate/establishment assholes did everything they could to beat him/us down! Now these two face asses embracing him (for the moment) &amp; shaming people to vote for their puppet! This is what we up against! How can one not convulse with anger https://t.co/hwYGpWhyqV
1250887282044866561,2020-04-16 20:42:23,db10s,"I remember this like it was yesterday. Was just in front of me in the then East Stand. Mills stood there for a good few seconds as Henry ran off, with the perfect mix of anger, disbelief and resignation in his face. Everyone laughed 😂 https://t.co/QVZdmeFx68"
1250885102533517314,2020-04-16 20:33:43,MaChiJune1993,"Kook: *accidentally hurts himself with a ball, nothing serious *

Bts: AHAHAHAHAHAH *kicks ball in anger for hurting jk* AHAHAHAHAHAH SO SILLY *pet jk's hair and face, check if he is okay* AHAHAHAHAHAH SO FUNNY *run and scream for a doctor to come check jk*"
1250884079559442432,2020-04-16 20:29:39,highlylifted20,"In reality, I want to get up and throw this chair in your face knowing well, talking is out of the picture. Acting like that doesn’t help any of us. Control your anger."
1250883186416107522,2020-04-16 20:26:06,bilinski_andrew,"@futurecanon On November 4th, we're going to wake up to the realization that approximately 76 million Americans have not gotten the memo about The New normal.  This crowd will still be pressing their face up against the glass and screaming their anger. We all need to reach some common facts."
1250878528750575617,2020-04-16 20:07:36,FrankSantamar15,@seanhannity @RepMattGaetz The best part is their children know it’s wrong and they will face the consequences! Did these two leftist democrats full of hate and anger face jail time? Probably not!
1250877875802308609,2020-04-16 20:05:00,Aislinn_Brady,"@jinxhush @sisterSkul *holds his face* Stop saying that. Now. *closes her eyes, feeling her anger build up*"
1250875080839778304,2020-04-16 19:53:54,cutie_robot,"@HoneyDooleyy fear's awake

anger beats loud

face reality"
1250874972295311360,2020-04-16 19:53:28,Ms_NoItAll_,"@RealJamesWoods It’s not healthy, but I literally start shaking with anger when I see that wretched woman’s face.  Even more so when she talks.  Ugh!  🤬"
1250874900878954498,2020-04-16 19:53:11,CandiceArchime2,"when yeonjun said "" smile up in your face , but behind your back they hate "" I felt that anger throught his voice . #YEONJUN_Song_Cry #TOMORROW_X_TOGETHER https://t.co/ORJ4YX3wKC"
1250871508827848705,2020-04-16 19:39:42,MsErinVictoria,"“What woman here is so enamored of her own oppression that she cannot see her heelprint upon another woman’s face?” -Lorde, The Uses of Anger https://t.co/rif47PE1cU"
1250871001551908865,2020-04-16 19:37:41,veraciousegret,"@proudbastarddd she pauses, her head whips around to finally look at him. her face is near unreadable — though it lies somewhere between anger and confusion."
1250868204332896257,2020-04-16 19:26:34,EmmerdaleKathy,"@KimAtHomeFarm ""I..."" she looks at Frank, so devoted to Kim and her anger falters. ""I came to see the gardens. Nick's done a good job."" She swallows, seeing the triumph in Kim's face."
1250861797474816001,2020-04-16 19:01:07,WickedandWize,the boyfriend that dropped money for soup was in the parlour playing game..😪the boy saw the face of the soup 😶just walked inside the room 🤣🤣wore his cloth and left out of anger and disappointment...💁🏾‍♂️is the next day..anty brought solution 😩she cut potatoes and put inside..
1250859637017997314,2020-04-16 18:52:31,Carmie_twt,"Bighuggs
I have the same issue..
Me: logic rules me 90% of the time.
Also me: anger flares up and I end up punching a solid surface (nearly breaking my hand) to avoid breaking the offenders face. At work. https://t.co/zAMA2lYcKb"
1250858938255499264,2020-04-16 18:49:45,pakpatriot71,"When you see the face of anger
look behind it
and you will see the face of pride.
Bring anger and pride
under your feet, turn them into a ladder
and climb higher.
~ Rumi"
1250856687801638914,2020-04-16 18:40:48,rickmagill54,@StanleyCohenLaw I would imagine that there is a lot of frustration and even anger building up in those waiting. These are hard times and I don't wish to downplay that but POC face this in every aspect of life including their right to vote.
1250856374700933121,2020-04-16 18:39:34,northernmom4,"Is anyone else seeing this? @MsJenGrice I'd like to hear what you think. Plus the face that he's shared in past interviews that he is prone to violence and anger. :(
#michaelbuble #DomesticViolence https://t.co/OKYVXEaWGZ"
1250855790082166791,2020-04-16 18:37:14,therealkingindi,"Immense vocal growth, purity and tenacity with this one folks! I’ve let go the anger and self doubt and punch 🥊 fate in the face! #MORNINGSTAR"
1250851718939709440,2020-04-16 18:21:04,Kingi6ix,"I did not share this video for views
I did not share it for likes
I slowed it done to show the face of abuse
I don't forcefully elbow women 
Having grown up and seeing things like this first hand. I know personally what the fuck this is. In anger he forgot he was on camera. https://t.co/gQCpXQRMER"
1250851447132041216,2020-04-16 18:19:59,Ben_Rutherford9,"@Henni_Papenfuss Dont, because I already fell about with a couple mate. 
Even got to extent of anger and wanting smash face in, due to them having friends round for parties. 
All I see it as, costing me money"
1250850856553058307,2020-04-16 18:17:38,bloxburgbox,"@TIictears bruh, you leaked my face, were really rude to many people, so dont turn it around cause you have anger issues. you did bad things and should be ashamed of yourself anger issues or not."
